CRN,Subj,Course,Sec,Title,Creds Days,Time,Instructor,Notes
34254,EN,0012,39,Texts and Contexts II,3,TF 1230-0145pm,,Moliterno F,
34455,EN,0012,40,Texts and Contexts II,3,MR 0930-1045am,,Dimyan R,
34456,EN,0012,41,Texts and Contexts II,3,MR 1100-1215pm,,Sweeney M,
34669,EN,0012,42,Texts and Contexts II,3,TF 0200-0315pm,,Linder M,
34670,EN,0012,43,Texts and Contexts II,3,TF 0800-0915am,,Breunig L,
34671,EN,0012,44,Texts and Contexts II,3,TF 0330-0445pm,,STAFF,
35268,EN,0012,45,Texts and Contexts II,3,MR 1100-1215pm,,Madden C,
35269,EN,0012,46,Texts and Contexts II,3,TF 0200-0315pm,,STAFF,
35270,EN,0012,47,Texts and Contexts II,3,TF 0930-1045am,,STAFF,
35271,EN,0012,48,Texts and Contexts II,3,MR 0200-0315pm,,Gunter K,
35272,EN,0012,49,Texts and Contexts II,3,MR 0330-0445pm,,Hosten C,
35273,EN,0012,50,Texts and Contexts II,3,TF 0930-1045am,,Breunig L,
35274,EN,0012,51,Texts and Contexts II,3,TF 0930-1045am,,Spinale K,
35275,EN,0012,52,Texts and Contexts II,3,TF 0930-1045am,,Veilleux K,
35840,EN,0101,01,Intro Lit & Cultural Studies,3,MR 0200-0315pm,,O'Driscoll S,WDIV
35276,EN,0101,OL1,Intro Lit & Cultural Studies,3,Online,,STAFF,WDIV
34591,EN,0102,01,Intro to Contemp Wrld Lit,3,M 0630-0900pm,,O'Driscoll S,HYBD WDIV
35026,EN,0102,OL1,Intro to Contemp Wrld Lit,3,Online,,O'Driscoll S,WDIV
35841,EN,0108,01,Myth in Classical Literature,3,MR 1100-1215pm,,Rosivach V,
35842,EN,0109,01,Greek Tragedy/Engl Translation,3,W 0630-0900pm,,Rosivach V,
34764,EN,0111,01,International Short Fiction,3,T 0500-0730pm,,Pichlikova-Burke L,
35279,EN,0112,01,19th C Russian Novel &Wrld Lit,3,W 0200-0430pm,,Pichlikova-Burke L,
35280,EN,0121,01,American Lit & the Environment,3,MR 0930-1045am,,Bayers P,
35843,EN,0121,02,American Lit & the Environment,3,MR 1100-1215pm,,Bayers P,SJRC
35844,EN,0125,01,American Drama,3,MWR 0200-0250pm,,LoMonaco M,UDIV
35027,EN,0135,01,Graphic Novels: Thrills/Chills,3,TR 0630-0745pm,,Ferree C,UDIV
35845,EN,0136,01,Book Histories and Futures,3,MR 0330-0445pm,,Mercurio J,
34386,EN,0141,01,Imagining Shakespeare,3,MR 0200-0315pm,,Kelley S,CLRC
34765,EN,0141,02,Imagining Shakespeare,3,MR 0330-0445pm,,Scruton J,
35846,EN,0142,01,Myths & Legends /Ire & Britain,3,TF 0930-1045am,,Epstein R,
34454,EN,0161,01,Irish Literature,3,TF 1100-1215pm,,Pearson N,
34980,EN,0163,OL1,Lit of Illness and Healing,3,Online,,Rinaldi J,UDIV
35399,EN,0204,01,Literary Fairy Tale Tradition,3,W 0800-1030am,,Epstein R,
35283,EN,0213,01,Shakespeare I,3,MR 1230-0145pm,,Kelley S,
35847,EN,0275,01,Modern Women Writers,3,W 1100-0130pm,,Orlando E,
35848,EN,0291,01,Gender&Sexuality in Film & Lit,3,R 0330-0445pm,,O'Driscoll S,HYBD
35286,EN,0311,01,Chaucer's Canterbury Tales,3,TF 1100-1215pm,,Epstein R,
35849,EN,0314,01,Renaissance Eros,3,MR 1100-1215pm,,Kelley S,
35031,EN,0352,01,Cultural Studies Theory,3,M 0630-0900pm,,Rajan G,UDIV
34821,EN,0390,01,Literature Capstone,3,W 0200-0430pm,,Pearson N,
34387,ENW,0202,01,Creative Writing: Poetry I,3,MR 0930-1045am,,Sweeney M,
34721,ENW,0205,01,Creative Writing: Fiction I,3,T 0500-0730pm,,Smith T,
34656,ENW,0206,01,Creative Writing: Nonfiction I,3,TF 1100-1215pm,,Huber S,
35850,ENW,0207,01,Themes in Creative Writing,3,TF 1230-0145pm,,Huber S,
34106,ENW,0220,01,News Writing,3,MR 1100-1215pm,,Tullis M,
34293,ENW,0221,01,News Writing II: Digital Desgn,3,TF 1230-0145pm,,Tullis M,
34388,ENW,0290,01,Writing and Responding,3,MR 1230-0145pm,,Boquet E,SERL
35851,ENW,0305,01,Creative Writing: Fiction II,3,W 0200-0430pm,,White M,
34762,ENW,0311,01,Teaching and Writing,3,W 1100-0130pm,,Crandall B,
34601,ENW,0317,01,Teaching and Learning Grammar,3,MR 0330-0445pm,,Boquet E,
35029,ENW,0321,01,Big Data Storytelling,3,MR 1100-1215pm,,Xie L,
34660,ENW,0332,01,Business Writing,3,R 0500-0730pm,,Smith T,
35290,ENW,0338,01,Persuasive Writing,3,MR 1230-0145pm,,Smith T,
34291,ENW,0339,01,Grant and Proposal Writing,3,W 0200-0430pm,,Sobocinski T,SERL UDIV
34763,ENW,0340,01,World of Publishing I,3,MR 1100-1215pm,,Davis C,
35101,ENW,0346,01,Internship,3,T 0500-0730pm,,Orlando E,
35466,ENW,0348,01,Independent Writing Project,3,By Arrangement,,Davis C,
34292,ENW,0397,01,Journalism Practicum,3,By Arrangement,,Xie L,
35077,ENW,0398,01,Publishing Practicum,3,By Arrangement,,Davis C,
34658,ENW,0399,01,Advanced Portfolio Workshop,3,MW 0500-0615pm,,White M,
CRN,Subj,Course,Sec,Title,Creds Days,Time,Instructor,Notes
35755,EV,0303,01,Campus Sustainability,3 W,1100-0130pm,Downie D,
CRN,Subj,Course,Sec,Title,Creds Days Time,,Instructor,Notes
34649,FTM,0011,01,Intro Film & Video Production,3 T 0200-0430pm,,Brooks P,
35366,FTM,0011,02,Intro Film & Video Production,3 W 0200-0430pm,,O'Connor M,
35458,FTM,0011,03,Intro Film & Video Production,3 T 1100-0130pm,,Brooks P,
34650,FTM,0090,01,Production Practicum in FTM,1 By Arrangement,,O'Connor M,
34834,FTM,0104,01,Documentary Cinema,3 T 1100-0130pm,,Fresko D,
34652,FTM,0130,01,Nonlinear Editing for Film &TV,3 R 1100-0130pm,,O'Connor M,
35945,FTM,0201B,01,Italian Cinema,3 MR 0930-1045am,,Carolan M,
35698,FTM,0201C,01,Filmmaker Studies: Hitchcock,3 W 1100-0130pm,,Fresko D,
35947,FTM,0210A,01,Spec Topics: Audio Post Produc,3 F 0930-1200pm,,Matley J,
35699,FTM,0220,01,Intermediate Screenwriting,3 T 0200-0430pm,,O'Connor M,
35700,FTM,0234,01,"Directing for Film, TV, Media",3 R 0500-0730pm,,Brooks P,
35369,FTM,0310,01,Capstone Seminar I,3 R 1100-0130pm,,Brooks P,
